rep_id,rep_name,segment,territory,hire_date,termination_date,month_end_date,months_since_hire,annual_quota,monthly_quota,ramp_profile_id,ramp_pct,expected_attainment,theoretical_quota_capacity,expected_productive_capacity,new_logo_share_of_bookings,new_logo_productive_capacity,actual_bookings,actual_attainment
REP-005,Priya Hollingsworth,SMB,Midwest,2019-01-23,2024-04-30,2024-01-31,61,700000.00,58333.333333333336,standard,1.00,0.47052666608506,58333.333333333336,27447.388854961835,0.8680089553271375,23824.57932645314,16093.68,0.2758916571428571
REP-005,Priya Hollingsworth,SMB,Midwest,2019-01-23,2024-04-30,2024-02-29,62,700000.00,58333.333333333336,standard,1.00,0.47052666608506,58333.333333333336,27447.388854961835,0.8680089553271375,23824.57932645314,27502.64,0.47147382857142855
REP-005,Priya Hollingsworth,SMB,Midwest,2019-01-23,2024-04-30,2024-03-31,63,700000.00,58333.333333333336,standard,1.00,0.47052666608506,58333.333333333336,27447.388854961835,0.8680089553271375,23824.57932645314,10376.59,0.1778844
REP-005,Priya Hollingsworth,SMB,Midwest,2019-01-23,2024-04-30,2024-04-30,64,700000.00,58333.333333333336,standard,1.00,0.47052666608506,58333.333333333336,27447.388854961835,0.8680089553271375,23824.57932645314,7295.54,0.1250664
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-01-31,61,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,6894.04,0.08272848000000001
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-02-29,62,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,41053.25,0.49263900000000005
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-03-31,63,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,23304.42,0.27965304
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-04-30,64,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,70731.03,0.84877236
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-05-31,65,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,195864.77,2.35037724
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,2024-06-30,66,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,61694.28,0.74033136
REP-010,Anouk Reyes,Mid-Market,West,2019-01-02,,2024-01-31,61,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,48498.13,0.58197756
REP-010,Anouk Reyes,Mid-Market,West,2019-01-02,,2024-02-29,62,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,19802.57,0.23763084
REP-010,Anouk Reyes,Mid-Market,West,2019-01-02,,2024-03-31,63,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,0.00,0.0
REP-010,Anouk Reyes,Mid-Market,West,2019-01-02,,2024-04-30,64,1000000.00,83333.33333333333,standard,1.00,0.7712577286363639,83333.33333333333,64271.47738636365,0.4147782801896837,26658.412855566065,81945.75,0.983349
