rep_id,rep_name,segment,hire_date,termination_date,period,active_months,fully_ramped_months,months_since_hire_at_period_end,eligible_quota,credited_bookings,attainment,terminated_in_period
REP-010,Anouk Reyes,Mid-Market,2019-01-02,,FY2025,12,12,84,1000000.0000000001,538188.97,0.5381889699999999,false
REP-010,Anouk Reyes,Mid-Market,2019-01-02,,TTM_2026_06,12,12,90,1000000.0000000001,385793.97,0.38579396999999993,false
REP-014,Zubeida Sandoval,Enterprise,2019-01-02,2026-04-30,TTM_2026_06,10,10,88,1166666.6666666667,179464.70,0.1538268857142857,true
REP-014,Zubeida Sandoval,Enterprise,2019-01-02,2026-04-30,FY2025,12,12,84,1400000.0000000002,155571.76,0.1111226857142857,false
REP-018,Esperanza Kaminski,Mid-Market,2019-10-25,2025-02-28,FY2025,2,2,65,166666.66666666666,74851.48,0.44910888,true
REP-026,Nadia Eriksen,Mid-Market,2021-11-11,,TTM_2026_06,12,12,56,1000000.0000000001,1162215.69,1.1622156899999998,false
REP-026,Nadia Eriksen,Mid-Market,2021-11-11,,FY2025,12,12,50,1000000.0000000001,930749.88,0.9307498799999999,false
REP-029,Cormac Jorgensen,Enterprise,2022-08-22,,FY2025,12,12,41,1400000.0000000002,208827.22,0.14916229999999997,false
REP-029,Cormac Jorgensen,Enterprise,2022-08-22,,TTM_2026_06,12,12,47,1400000.0000000002,946658.32,0.6761845142857141,false
REP-030,Ilaria Thornbury,SMB,2022-09-22,,FY2025,12,12,40,700000.0000000001,447877.75,0.639825357142857,false
REP-030,Ilaria Thornbury,SMB,2022-09-22,,TTM_2026_06,12,12,46,700000.0000000001,362763.22,0.5182331714285713,false
REP-032,Priya Dunleavy,Mid-Market,2023-07-24,,TTM_2026_06,12,12,36,1000000.0000000001,587337.14,0.5873371399999999,false
REP-032,Priya Dunleavy,Mid-Market,2023-07-24,,FY2025,12,12,30,1000000.0000000001,735635.90,0.7356358999999999,false
REP-035,Noor Falkenrath,SMB,2024-02-11,,FY2025,12,12,23,700000.0000000001,137424.03,0.19632004285714283,false
REP-035,Noor Falkenrath,SMB,2024-02-11,,TTM_2026_06,12,12,29,700000.0000000001,118321.29,0.16903041428571425,false
REP-037,Solveig Zielinski,SMB,2024-04-06,,TTM_2026_06,12,12,27,700000.0000000001,151365.80,0.2162368571428571,false
REP-037,Solveig Zielinski,SMB,2024-04-06,,FY2025,12,12,21,700000.0000000001,224940.56,0.32134365714285706,false
REP-038,Soren Underwood,SMB,2024-05-20,,TTM_2026_06,12,12,26,700000.0000000001,801180.72,1.1445438857142856,false
REP-038,Soren Underwood,SMB,2024-05-20,,FY2025,12,12,20,700000.0000000001,894818.65,1.278312357142857,false
REP-039,Osric Montoya,Mid-Market,2024-06-14,,FY2025,12,12,19,1000000.0000000001,1166532.25,1.16653225,false
REP-039,Osric Montoya,Mid-Market,2024-06-14,,TTM_2026_06,12,12,25,1000000.0000000001,1192839.68,1.1928396799999998,false
REP-040,Leila Papadopoulos,Mid-Market,2024-07-20,2025-02-28,FY2025,2,2,8,166666.66666666666,76078.74,0.45647244000000003,true
REP-041,Jian Engebretsen,Mid-Market,2024-07-12,2025-04-30,FY2025,4,4,10,333333.3333333333,224946.25,0.67483875,true
REP-043,Nadia Abernathy,SMB,2024-09-14,2025-04-30,FY2025,4,4,8,233333.33333333334,52433.87,0.2247165857142857,true
REP-044,Malachi Dunleavy,Enterprise,2024-09-12,,TTM_2026_06,12,12,22,1400000.0000000002,955600.24,0.6825715999999998,false
REP-044,Malachi Dunleavy,Enterprise,2024-09-12,,FY2025,12,11,16,1382500.0,1079733.96,0.7810010560578662,false
REP-045,Rashid Pellegrino,Enterprise,2024-09-14,,FY2025,12,11,16,1382500.0,833171.82,0.6026559276672694,false
REP-045,Rashid Pellegrino,Enterprise,2024-09-14,,TTM_2026_06,12,12,22,1400000.0000000002,652110.44,0.4657931714285713,false
REP-046,Salim Ghorbani,Mid-Market,2025-02-19,2026-03-31,FY2025,11,7,11,708333.3333333334,200296.14,0.28277102117647057,false
REP-046,Salim Ghorbani,Mid-Market,2025-02-19,2026-03-31,TTM_2026_06,9,9,14,750000.0,200296.14,0.26706152,true
