version,month_end_date,cost_center,department,account_code,account_name,account_category,forecast_amount
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6000,Salaries & Wages,Sales & Marketing,75669.15
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6020,Payroll Taxes & Benefits,Sales & Marketing,15512.17
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6030,Sales Commissions,Sales & Marketing,3680.09
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6040,Commission Amortisation,Sales & Marketing,4294.37
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6200,Software & Subscriptions,Sales & Marketing,3878.12
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6300,Travel & Entertainment,Sales & Marketing,4778.79
FY2026-Q2-Reforecast,2026-07-31,CC-1000,Sales - SMB,6450,Training & Enablement,Sales & Marketing,453.67
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6000,Salaries & Wages,Sales & Marketing,95331.15
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6020,Payroll Taxes & Benefits,Sales & Marketing,19542.89
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6030,Sales Commissions,Sales & Marketing,7025.64
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6040,Commission Amortisation,Sales & Marketing,8198.34
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6200,Software & Subscriptions,Sales & Marketing,4308.87
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6300,Travel & Entertainment,Sales & Marketing,5620.64
FY2026-Q2-Reforecast,2026-07-31,CC-1010,Sales - Mid-Market,6450,Training & Enablement,Sales & Marketing,549.48
FY2026-Q2-Reforecast,2026-07-31,CC-1020,Sales - Enterprise,6000,Salaries & Wages,Sales & Marketing,72862.89
FY2026-Q2-Reforecast,2026-07-31,CC-1020,Sales - Enterprise,6020,Payroll Taxes & Benefits,Sales & Marketing,14936.90
